"","연도","월","마리수","번식우","1세미만(암)","1세미만(수)","1~2세(암)","1~2세(수)","2세이상(암)","2세이상(수)"
"2","2000","03","1,819","1,142","262","384","239","222","690","22"
"3","2000","06","1,801","1,118","271","395","215","219","678","23"
"4","2000","09","1,713","1,051","258","384","199","213","639","20"
"5","2000","12","1,590","973","237","352","188","202","593","18"
"6","2001","03","1,476","899","211","329","172","189","556","19"
"7","2001","06","1,507","920","211","333","178","205","562","18"
"8","2001","09","1,485","892","211","333","171","199","552","19"
"9","2001","12","1,406","855","199","307","163","188","532","17"
"10","2002","03","1,371","837","194","305","149","179","525","19"
"11","2002","06","1,448","883","221","337","146","178","546","20"
"12","2002","09","1,461","883","220","337","144","191","546","23"
"13","2002","12","1,410","851","200","321","146","189","532","22"
"14","2003","03","1,337","788","177","307","141","184","504","24"
"15","2003","06","1,423","832","196","333","152","197","521","24"
"16","2003","09","1,464","854","211","340","156","199","533","25"
"17","2003","12","1,480","867","213","333","157","209","543","25"
"18","2004","03","1,521","896","209","327","163","226","569","27"
"19","2004","06","1,627","959","233","353","172","237","600","32"
"20","2004","09","1,667","991","241","361","176","240","617","32"
"21","2004","12","1,666","1,001","249","360","177","232","617","31"
"22","2005","03","1,654","1,015","246","357","184","213","622","32"
"23","2005","06","1,757","1,095","265","381","192","235","647","37"
"24","2005","09","1,825","1,105","275","396","198","250","670","36"
"25","2005","12","1,819","1,114","274","383","203","249","675","35"
"26","2006","03","1,836","1,137","268","372","212","251","695","38"
"27","2006","06","1,959","1,200","290","412","217","264","732","44"
"28","2006","09","2,021","1,231","300","422","216","275","755","53"
"29","2006","12","2,020","1,237","295","412","218","280","762","53"
"30","2007","03","2,043","1,260","291","408","227","281","777","59"
"31","2007","06","2,179","1,336","320","442","235","301","816","65"
"32","2007","09","2,220","1,361","332","445","243","310","823","68"
"33","2007","12","2,201","1,354","329","422","240","321","821","68"
"34","2008","03","2,241","1,381","319","418","242","313","853","97"
"35","2008","06","2,448","1,477","353","469","271","345","893","116"
"36","2008","09","2,470","1,490","359","466","279","349","894","123"
"37","2008","12","2,430","1,470","350","447","282","346","882","123"
"38","2009","03","2,481","1,491","343","448","294","360","901","134"
"39","2009","06","2,599","1,545","363","470","308","383","929","146"
"40","2009","09","2,641","1,561","372","473","318","387","932","159"
"41","2009","12","2,635","1,555","376","467","320","382","925","165"
"42","2010","03","2,706","1,599","370","463","338","396","967","173"
"43","2010","06","2,889","1,676","404","494","343","412","1,024","211"
"44","2010","09","2,950","1,690","417","514","347","418","1,034","220"
"45","2010","12","2,922","1,676","411","499","349","414","1,029","220"
"46","2011","03","2,881","1,677","399","469","347","403","1,039","225"
"47","2011","06","3,053","1,765","425","506","352","423","1,100","247"
"48","2011","09","3,044","1,763","430","510","356","426","1,094","227"
"49","2011","12","2,950","1,708","410","480","363","420","1,068","210"
"50","2012","03","2,940","1,694","410","473","357","418","1,076","207"
"51","2012","06","3,109","1,737","418","500","388","456","1,115","233"
"52","2012","09","3,143","1,700","431","512","395","467","1,094","244"
"53","2012","12","3,059","1,643","430","512","392","467","1,036","221"
"54","2013","03","2,966","1,580","396","470","409","479","996","216"
"55","2013","06","3,064","1,590","383","459","412","491","1,037","281"
"56","2013","09","3,043","1,563","369","438","419","496","1,024","296"
"57","2013","12","2,918","1,500","367","434","420","491","956","251"
"58","2014","03","3,083","1,467","378","457","442","514","1,027","266"
"59","2014","06","3,149","1,481","362","437","424","492","1,091","344"
"60","2014","09","3,103","1,475","372","444","402","471","1,075","339"
"61","2014","12","3,028","1,458","380","455","397","464","1,037","294"
"62","2015","03","2,896","1,420","372","449","386","448","1,005","236"
"63","2015","06","2,984","1,467","372","450","376","435","1,065","286"
"64","2015","09","2,996","1,469","386","467","381","440","1,045","278"
"65","2015","12","2,909","1,427","384","467","388","449","997","225"
"66","2016","03","2,821","1,415","377","463","385","445","966","185"
"67","2016","06","2,966","1,631","376","462","393","458","1,026","252"
"68","2016","09","3,016","1,642","388","474","396","466","1,029","263"
"69","2016","12","2,963","1,622","390","475","391","463","1,007","236"
"70","2017","03","2,885","1,602","385","473","389","459","985","192"
"71","2017","06","3,034","1,677","385","472","395","467","1,056","259"
"72","2017","09","3,120","1,714","411","500","398","470","1,066","273"
"73","2017","12","3,020","1,682","410","497","398","468","1,026","221"
"74","2018","03","2,947","1,668","409","498","401","467","1,001","172"
"75","2018","06","3,117","1,751","413","499","406","474","1,081","245"
"76","2018","09","3,168","1,758","418","506","408","479","1,097","260"
"77","2018","12","3,113","1,744","424","515","407","478","1,071","218"
"78","2019","03","3,059","1,740","428","521","408","476","1,053","175"
"79","2019","06","3,242","1,838","437","531","409","476","1,134","255"
"80","2019","09","3,269","1,843","441","537","415","483","1,137","256"
"81","2019","12","3,211","1,824","433","530","421","494","1,117","217"
