"국가별",1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"국가별",국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%),국내총생산(GDP)(당해년 가격) (10억US$),1인당 GDP(당해년 가격) (달러),GDP 성장률 (%),수출 (100만달러),수입 (100만달러),총인구 (천명),실업률 (%),소비자물가지수 (2010=100),조강생산량 (1000M/T),인터넷 이용률 (%)
"세계",-,-,-,3446279,3562626,5327231,-,-,-,-,-,-,-,3538787,3680921,5414289,-,-,-,-,-,-,-,3769391,3901957,5498920,-,-,-,-,-,-,-,3637289,3724220,5581598,-,-,-,-,-,-,-,4140259,4232394,5663150,-,-,-,-,-,-,-,4945021,5049203,5744213,-,-,752271,-,-,-,-,5165435,5300397,5824892,-,-,750016,-,-,-,-,5528373,5645248,5905046,-,-,798945,-,-,-,-,5445017,5567808,5984794,-,-,777321,-,-,-,-,5642907,5803282,6064239,-,-,788961,-,-,-,-,6364100,6578895,6143494,-,-,848925,-,-,-,-,6138917,6375638,6222627,-,-,851073,-,-,-,-,6419087,6627146,6301773,-,-,904053,-,-,-,-,7473815,7708527,6381185,-,-,969915,-,-,-,-,9095817,9404762,6461159,-,-,1062540,-,-,-,-,10374073,10708150,6541907,-,-,1147805,-,-,-,-,11993476,12311615,6623518,-,-,1250098,-,-,-,-,13830522,14161480,6705947,-,-,1348108,-,-,-,-,16056261,16349694,6789089,-,-,1343429,-,-,-,-,12430350,12579062,6872767,-,-,1238755,-,-,-,-,14806017,15165856,6956824,-,-,1433433,-,-,-,-,17678342,18103694,7041194,-,-,1538003,-,-,-,-,17734919,18164661,7125828,-,-,1560131,-,-,-,-,18193928,18503087,7210582,-,-,1650354,-,-,-,-,18456711,18667357,7295291,-,-,1669450,-,-,-,-,16113265,16261857,7379797,-,-,1620001,-,-,-,-,15610609,15848339,7464022,-,-,1627004,-,-,-,-,17122566,17499065,7547859,-,-,1689527,-,-,-,-,-,-,7631091,-,-,-,-,-,-,-,-,-,7713468,-,-,-,-
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"한국",-,-,-,65016,69844,42869,2.4,40.6,-,-,-,-,-,71870,81525,43296,2.4,44.4,-,-,-,-,-,76632,81775,43748,2.5,47.1,-,-,-,-,-,82236,83800,44195,2.9,49.4,-,-,-,-,-,96013,102348,44642,2.5,52.5,-,-,-,-,-,125058,135119,45093,2.1,54.8,36772,-,-,-,-,129715,150339,45525,2.0,57.5,38903,-,-,-,-,136164,144616,45954,2.6,60.1,42554,-,-,-,-,132313,93282,46287,7.0,64.6,39896,-,-,-,-,143685,119752,46617,6.3,65.1,41042,-,576.4,12261,-,172268,160481,47008,4.4,66.6,43107,44.7,547.7,11563,4.9,150439,141098,47370,4.0,69.3,43852,56.6,627.2,13164,7.7,162471,152126,47645,3.3,71.2,45390,59.4,702.6,14669,3.1,193817,178827,47892,3.6,73.7,46310,65.5,793.6,16506,5.2,253845,224463,48083,3.7,76.3,47521,72.7,934.7,19399,4.3,284419,261238,48185,3.7,78.4,47820,73.5,1052.4,21727,5.3,325465,309383,48438,3.5,80.2,48455,78.1,1172.7,24088,5.8,371489,356846,48684,3.2,82.2,51517,78.8,1046.8,21340,3.0,422007,435275,49055,3.2,86.1,53625,81.0,944.3,19152,0.8,363534,323085,49308,3.6,88.5,48572,81.6,1143.9,23083,6.8,466384,425212,49554,3.7,91.1,58914,83.7,1253.4,25100,3.7,555214,524413,49937,3.4,94.7,68519,83.8,1278.0,25458,2.4,547870,519584,50200,3.2,96.8,69073,84.1,1370.6,27178,3.2,559632,515586,50429,3.1,98.0,66061,84.8,1484.0,29242,3.2,572665,525515,50747,3.5,99.3,71543,87.6,1465.3,28724,2.8,526757,436499,51015,3.6,100.0,69670,89.9,1500.0,29287,2.9,495426,406193,51218,3.7,101.0,68576,92.8,1623.3,31605,3.2,573694,478478,51362,3.7,102.9,71030,95.1,1720.9,33346,2.7,604860,535202,51607,3.8,104.5,-,95.9,-,-,-,-,-,51709,-,-,-,-
"이스라엘",58.9,12645,7.3,11576,16791,4448,12.2,32.5,-,-,67.5,13631,7.7,11921,18658,4589,13.4,38.7,-,-,75.5,14737,7.8,13119,20253,4753,14.1,43.3,-,-,75.9,14422,4.1,14779,22623,4929,12.7,48.1,-,-,86.2,15969,7.4,16884,25237,5106,9.9,54.0,-,-,100.2,18077,6.6,19046,29579,5271,8.8,59.4,220,-,109.9,19300,5.2,20610,31685,5424,8.5,66.2,265,-,114.6,19641,3.9,22591,30840,5567,9.8,72.1,270,-,115.9,19404,3.7,22734,29342,5699,10.8,76.0,280,-,117.0,19104,3.2,25794,33166,5825,11.2,79.9,280,-,132.2,21028,7.7,31404,35750,5946,11.1,80.8,280,20.9,130.7,20294,0.1,29048,33303,6061,11.8,81.7,280,17.4,121.0,18424,0.0,29347,33106,6169,12.9,86.4,280,17.8,126.8,18956,0.9,31783,34212,6278,13.5,87.0,280,19.6,135.3,19877,4.2,38618,40969,6397,13.0,86.7,280,22.8,142.4,20550,3.9,42770,44944,6529,11.3,87.8,300,25.2,154.0,21830,5.6,46789,47318,6681,10.7,89.7,300,27.9,178.7,24894,5.8,45917,56106,6847,9.4,90.1,300,48.1,216.0,29548,2.9,51321,64531,7021,7.7,94.2,300,59.4,207.5,27713,1.2,42065,46927,7190,9.5,97.4,300,63.1,233.7,30659,5.5,50879,58705,7346,8.5,100.0,300,67.5,261.7,33701,5.0,58132,72747,7487,7.1,103.5,300,68.9,257.4,32543,2.1,53972,72270,7615,6.9,105.2,300,70.8,292.9,36344,4.1,56871,71102,7735,6.2,106.9,300,70.3,310.0,37734,3.9,57667,71480,7854,5.9,107.4,300,75.0,300.5,35855,2.6,53534,61337,7978,5.3,106.7,300,77.4,319.4,37372,4.0,60401,65805,8109,4.8,106.1,300,79.7,353.3,40544,3.4,61126,69151,8244,4.2,106.4,300,81.6,369.7,41614,3.3,62159,79261,8382,4.0,107.2,-,-,-,-,-,-,-,8519,-,-,-,-
"일본",3132.8,25359,4.9,287580,235376,124505,2.1,94.5,-,-,3584.4,28925,3.4,314793,237001,124930,2.1,97.6,-,-,3908.8,31465,0.8,339895,233250,125331,2.2,99.3,-,-,4454.1,35766,-0.5,362265,241645,125707,2.5,100.6,-,-,4907.0,39269,1.0,397273,275755,126053,2.9,101.3,-,-,5449.1,43440,2.7,443116,336042,126365,3.2,101.1,101640,-,4833.7,38437,3.1,410922,349165,126644,3.4,101.3,98801,-,4414.7,35022,1.1,420956,338753,126893,3.4,103.0,104545,-,4032.5,31903,-1.1,387935,280489,127117,4.1,103.7,93548,-,4562.1,36027,-0.3,419354,311244,127326,4.7,103.4,94192,-,4887.5,38532,2.8,479296,379727,127524,4.7,102.7,106444,30.0,4303.5,33846,0.4,403241,349201,127714,5.0,101.9,102866,38.5,4115.1,32289,0.1,416726,337598,127893,5.4,101.0,107745,46.6,4445.7,34808,1.5,471816,383299,128058,5.3,100.7,110511,48.4,4815.1,37689,2.2,565673,455189,128204,4.7,100.7,112718,62.4,4755.4,37218,1.7,594860,515809,128326,4.4,100.4,112471,66.9,4530.4,35434,1.4,646737,579042,128423,4.1,100.7,116226,68.7,4515.3,35275,1.7,714211,622135,128494,3.9,100.7,120203,74.3,5037.9,39339,-1.1,782049,762590,128539,4.0,102.1,118739,75.4,5231.4,40855,-5.4,580719,551960,128555,5.1,100.7,87534,78.0,5700.1,44508,4.2,769773,694052,128542,5.1,100.0,109599,78.2,6157.5,48168,-0.1,822564,854998,128499,4.5,99.7,107601,79.1,6203.2,48603,1.5,798620,886036,128424,4.3,99.7,107232,79.5,5155.7,40454,2.0,714613,832343,128314,4.0,100.0,110595,88.2,4850.4,38109,0.4,690202,812207,128169,3.6,102.8,110666,89.1,4389.5,34524,1.2,624787,647982,127985,3.4,103.6,105134,91.1,4926.7,38794,0.6,644899,607601,127763,3.1,103.5,104775,93.2,4860.0,38332,1.9,698168,671258,127503,2.8,104.0,104661,84.6,4970.9,39287,0.8,-,-,127202,2.4,105.0,-,-,-,-,-,-,-,126860,-,-,-,-
"터키",150.7,2794,9.3,12959,22303,53922,8.0,0.1,-,-,150.0,2736,0.7,13595,21047,54841,8.2,0.1,-,-,158.5,2842,5.0,14716,22871,55749,8.5,0.2,-,-,180.2,3180,7.7,15343,29428,56654,9.0,0.3,-,-,130.7,2270,-4.7,18106,23270,57564,8.6,0.7,-,-,169.5,2898,7.9,21599,35710,58486,7.6,1.3,13183,-,181.5,3054,7.4,23245,43628,59423,6.6,2.4,13624,-,189.8,3144,7.6,26260,48560,60373,6.8,4.4,14475,-,275.8,4496,2.3,26881,45921,61330,6.9,8.1,14144,-,255.9,4108,-3.4,26587,40226,62287,7.7,13.3,14313,-,273.0,4317,6.6,27775,54503,63240,6.5,20.6,14325,3.8,200.3,3120,-6.0,31334,41399,64192,8.4,31.8,14981,5.2,238.4,3660,6.4,36059,51554,65145,10.4,46.1,16467,11.4,311.8,4718,5.6,47253,69340,66089,10.5,56.1,18298,12.3,404.8,6041,9.6,63167,97540,67011,10.8,60.9,20478,14.6,501.4,7384,9.0,73476,116774,67903,10.6,65.9,20965,15.5,552.5,8035,7.1,85535,139576,68757,8.7,72.2,23315,18.2,675.8,9712,5.0,107272,170063,69582,8.9,78.5,25754,28.6,764.3,10854,0.8,132027,201964,70419,9.7,86.7,26806,34.4,644.6,9039,-4.7,102143,140928,71321,12.6,92.1,25304,36.4,771.9,10672,8.5,114022,185531,72327,10.7,100.0,29143,39.8,832.5,11336,11.1,135288,241076,73443,8.8,106.5,34107,43.1,874.0,11707,4.8,152905,237310,74651,8.2,115.9,35885,45.1,950.6,12519,8.5,152037,251589,75925,8.7,124.6,34654,46.3,934.2,12096,5.2,157770,242022,77229,9.9,135.7,34035,51.0,859.8,10949,6.1,144041,207030,78529,10.2,146.1,31517,53.7,863.7,10821,3.2,142696,198569,79828,10.8,157.4,33163,58.3,851.5,10500,7.4,157174,233758,81116,10.8,175.0,37524,64.7,766.5,9311,2.6,168228,222444,82340,10.9,203.5,-,71.0,-,-,-,-,-,83430,-,-,-,-
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",593.9,21448,0.2,127630,116736,27541,8.1,67.3,-,-,610.3,21768,-2.1,127162,118192,27889,10.3,71.1,-,-,592.4,20880,0.9,134435,122436,28224,11.2,72.1,-,-,577.2,20121,2.7,145177,131691,28548,11.4,73.5,-,-,578.1,19935,4.5,165372,-,28861,10.4,73.6,-,-,604.0,20614,2.7,191160,-,29164,9.5,75.2,14415,-,628.5,21227,1.6,202319,-,29458,9.6,76.4,14735,-,652.8,21829,4.3,215241,-,29742,9.1,77.6,15553,-,631.8,20952,3.9,214647,-,30022,8.3,78.4,15930,-,676.1,22239,5.2,239341,-,30303,7.6,79.7,16235,-,742.3,24190,5.2,278057,-,30588,6.8,81.9,16595,51.3,736.4,23738,1.8,261071,-,30880,7.2,84.0,15276,60.2,758.0,24169,3.0,252452,-,31178,7.7,85.9,16002,61.6,892.4,28201,1.8,272486,-,31488,7.6,88.2,15929,64.2,1023.2,32034,3.1,317054,-,31815,7.2,89.9,16305,66.0,1169.4,36266,3.2,370734,320129,32164,6.8,91.9,15327,71.7,1315.4,40386,2.6,398470,356714,32537,6.3,93.7,15493,72.4,1465.0,44543,2.1,430613,388490,32931,6.0,95.7,15572,73.2,1549.1,46594,1.0,460709,417928,33338,6.1,98.0,14945,76.7,1371.2,40773,-2.9,322965,329000,33746,8.3,98.3,9292,80.3,1613.5,47450,3.1,392346,401709,34148,8.1,100.0,13009,80.3,1789.1,52102,3.1,461441,461006,34539,7.5,102.9,12891,83.0,1824.0,52542,1.8,461876,475105,34922,7.3,104.5,13507,83.0,1842.0,52505,2.3,465271,473160,35297,7.1,105.5,12417,85.8,1801.5,50836,2.9,479377,475000,35664,6.9,107.5,12730,87.1,1552.9,43495,0.7,410200,429490,36027,6.9,108.7,12473,90.0,1526.7,42280,1.1,393452,412863,36383,7.0,110.2,12646,91.2,1646.9,45070,3.0,423395,442574,36732,6.3,112.0,13614,91.0,1709.3,46125,1.9,451776,468665,37075,5.8,114.5,-,-,-,-,-,-,-,37411,-,-,-,-
